NUM_VARS, NUM_NODES, NUM_STATES_AND_INPUTS, SPOCK_3, SPOCK_5, SPOCK_7
2250, 25, 90, 0.712345, 0.662439, 0.55197
6885, 27, 255, 1.31474, 2.59708, 3.81467
2925, 65, 45, 1.04398, 1.06737, 1.64003
8967, 49, 183, 1.24395, 3.60642, 5.31843
8322, 19, 438, 1.71545, 4.20728, 6.73408
7155, 15, 477, 2.2199, 4.89657, 6.95693
6882, 37, 186, 2.68697, 5.55766, 9.07926
4941, 61, 81, 1.73443, 2.28325, 6.62186
4446, 19, 234, 1.52879, 1.41483, 5.08114
3003, 91, 33, 1.5993, 0.550352, 3.88867
15444, 78, 198, 7.13923, 8.89507, 10.5982
18081, 49, 369, 11.4947, 16.7995, 21.0209
17400, 40, 435, 13.9606, 19.3434, 21.7365
16443, 29, 567, 10.9633, 18.6665, 21.5769
17100, 100, 171, 3.72661, 8.58615, 8.48645
13320, 111, 120, 1.67426, 4.51492, 6.40891
16524, 36, 459, 10.5768, 16.3829, 18.6265
11748, 89, 132, 1.86421, 5.95811, 7.30598
16506, 21, 786, 20.2556, 31.4834, 35.1103
12852, 51, 252, 3.65371, 7.25981, 8.15001
24174, 51, 474, 15.381, 22.3633, 23.5088
26754, 91, 294, 9.62693, 12.1216, 15.3561
29607, 71, 417, 33.1035, 45.6479, 58.4497
24624, 57, 432, 49.6898, 61.2849, 54.5667
22089, 37, 597, 22.8266, 31.636, 49.5185
20160, 40, 504, 6.14269, 8.91924, 9.49948
20193, 53, 381, 12.4193, 23.7688, 27.8401
21507, 67, 321, 4.91168, 10.0544, 6.69865
22200, 40, 555, 8.43202, 9.0362, 10.4544
20079, 23, 873, 47.5205, 57.4208, 111.342
30303, 37, 819, 53.1212, 73.1662, 82.2125
34980, 55, 636, 182.017, 207.001, 219.414
30030, 130, 231, 11.2565, 13.5048, 16.6909
37848, 76, 498, 11.5238, 14.5582, 23.9556
39396, 49, 804, 55.6491, 72.764, 82.5028
38220, 49, 780, 15.941, 17.7893, 21.4077
37290, 55, 678, 24.1734, 30.5753, 34.4833
38472, 56, 687, 43.6297, 49.5113, 55.8332
32010, 55, 582, 23.7381, 32.0705, 35.73
31800, 50, 636, 20.3809, 25.5055, 29.6449
44457, 73, 609, 47.0702, 56.2194, 62.9649
45750, 61, 750, 26.8451, 34.6536, 37.5365
49704, 76, 654, 25.2897, 29.0531, 32.7425
45678, 331, 138, 4.48272, 5.43019, 6.45846
49464, 229, 216, 11.9882, 14.5176, 16.6579
48825, 105, 465, 61.4585, 65.6485, 79.6377
44238, 101, 438, 6.65324, 8.47607, 9.74473
45705, 55, 831, 38.2872, 42.4553, 48.8202
44070, 113, 390, 42.5234, 50.7947, 55.4735
44019, 67, 657, 49.708, 57.5504, 67.3028
52689, 91, 579, 77.7284, 93.3313, 103.469
58644, 181, 324, 15.4266, 19.5934, 22.0261
50697, 131, 387, 34.5047, 39.4069, 48.5023
52533, 449, 117, 3.42626, 3.99797, 4.63972
53142, 521, 102, 2.50943, 3.1621, 3.76434
59001, 71, 831, 96.2293, 115.119, 132.549
50337, 329, 153, 2.16341, 3.61415, 3.81283
50310, 78, 645, 65.5699, 81.9789, 86.4628
57717, 121, 477, 31.4409, 37.6426, 42.3121
63933, 101, 633, 76.6569, 87.6252, 99.1627
69204, 79, 876, 71.5876, 76.5996, 88.6334
60456, 229, 264, 12.2868, 15.2474, 18.4134
60984, 121, 504, 45.9844, 45.3588, 55.8485
67320, 204, 330, 5.52361, 7.59012, 9.61531
61455, 85, 723, 143.09, 159.944, 174.068
62835, 71, 885, 49.4152, 54.3255, 61.7029
63729, 73, 873, 114.376, 128.325, 142.684
68970, 121, 570, 9.42879, 11.5338, 12.5561
74460, 85, 876, 90.6311, 128.199, 133.359
74670, 131, 570, 85.6084, 108.055, 123.971
73260, 148, 495, 8.07199, 9.80219, 12.6951
70059, 121, 579, 127.771, 152.025, 161.679
74214, 133, 558, 20.6713, 28.5041, 34.0168
70668, 151, 468, 82.5765, 100.476, 113.596
71148, 121, 588, 87.4632, 98.4854, 114.391
74784, 656, 114, 2.10149, 3.52225, 4.30756
78624, 117, 672, 24.2948, 33.7732, 38.3685
71604, 117, 612, 21.7058, 29.5474, 31.1967
86550, 577, 150, 3.49439, 6.12612, 8.94982
82992, 364, 228, 8.07139, 11.6195, 14.6997
83160, 105, 792, 166.316, 196.177, 237.773
81585, 111, 735, 159.731, 220.102, 242.695
81396, 204, 399, 5.9675, 9.61454, 9.31545
81993, 151, 543, 17.3119, 22.3018, 25.2931
85314, 118, 723, 164.661, 196.96, 207.816
80460, 596, 135, 7.93986, 16.4722, 20.0646
86904, 213, 408, 30.4843, 34.798, 40.2548
82680, 106, 780, 23.1837, 28.4792, 30.5337
93114, 739, 126, 6.38932, 8.79477, 30.9227
99351, 133, 747, 38.3814, 51.4329, 60.5922
92928, 256, 363, 10.2996, 14.346, 19.7002
92058, 229, 402, 14.5689, 18.0606, 22.0063
95082, 106, 897, 216.788, 265.895, 304.214
97104, 136, 714, 187.701, 231.188, 287.591
93291, 121, 771, 36.3566, 43.1403, 46.8861
90024, 341, 264, 3.39694, 5.31807, 6.58516
92058, 229, 402, 14.42, 20.4598, 23.8977
91611, 117, 783, 48.9314, 63.9029, 65.9506
