date;from;time zone from;to;time zone to;price [ct/kWh]
30.12.2024;23:00;UTC;00:00;UTC;5.049
31.12.2024;00:00;UTC;01:00;UTC;4.59
31.12.2024;01:00;UTC;02:00;UTC;5.643
31.12.2024;02:00;UTC;03:00;UTC;5.706
31.12.2024;03:00;UTC;04:00;UTC;6.392
31.12.2024;04:00;UTC;05:00;UTC;6.372
31.12.2024;05:00;UTC;06:00;UTC;6.37
31.12.2024;06:00;UTC;07:00;UTC;7.163
31.12.2024;07:00;UTC;08:00;UTC;7.843
31.12.2024;08:00;UTC;09:00;UTC;8.346
31.12.2024;09:00;UTC;10:00;UTC;8.247
31.12.2024;10:00;UTC;11:00;UTC;8.103
31.12.2024;11:00;UTC;12:00;UTC;8.117
31.12.2024;12:00;UTC;13:00;UTC;7.893
31.12.2024;13:00;UTC;14:00;UTC;7.684
31.12.2024;14:00;UTC;15:00;UTC;8.207
31.12.2024;15:00;UTC;16:00;UTC;8.367
31.12.2024;16:00;UTC;17:00;UTC;8.325
31.12.2024;17:00;UTC;18:00;UTC;7.768
31.12.2024;18:00;UTC;19:00;UTC;6.777
31.12.2024;19:00;UTC;20:00;UTC;3.556
31.12.2024;20:00;UTC;21:00;UTC;1.57
31.12.2024;21:00;UTC;22:00;UTC;0.906
31.12.2024;22:00;UTC;23:00;UTC;0.052
31.12.2024;23:00;UTC;00:00;UTC;0.216
01.01.2025;00:00;UTC;01:00;UTC;0.16
01.01.2025;01:00;UTC;02:00;UTC;0
01.01.2025;02:00;UTC;03:00;UTC;-0.001
01.01.2025;03:00;UTC;04:00;UTC;-0.001
01.01.2025;04:00;UTC;05:00;UTC;-0.006
01.01.2025;05:00;UTC;06:00;UTC;-0.009
01.01.2025;06:00;UTC;07:00;UTC;-0.001
01.01.2025;07:00;UTC;08:00;UTC;-0.001
01.01.2025;08:00;UTC;09:00;UTC;-0.004
01.01.2025;09:00;UTC;10:00;UTC;-0.003
01.01.2025;10:00;UTC;11:00;UTC;-0.01
01.01.2025;11:00;UTC;12:00;UTC;-0.005
01.01.2025;12:00;UTC;13:00;UTC;-0.01
01.01.2025;13:00;UTC;14:00;UTC;-0.101
01.01.2025;14:00;UTC;15:00;UTC;-0.001
01.01.2025;15:00;UTC;16:00;UTC;-0.001
01.01.2025;16:00;UTC;17:00;UTC;0.007
01.01.2025;17:00;UTC;18:00;UTC;0.101
01.01.2025;18:00;UTC;19:00;UTC;0.148
01.01.2025;19:00;UTC;20:00;UTC;0.1
01.01.2025;20:00;UTC;21:00;UTC;0.007
01.01.2025;21:00;UTC;22:00;UTC;1.005
01.01.2025;22:00;UTC;23:00;UTC;0.701
01.01.2025;23:00;UTC;00:00;UTC;0.255
02.01.2025;00:00;UTC;01:00;UTC;0.156
02.01.2025;01:00;UTC;02:00;UTC;0.345
02.01.2025;02:00;UTC;03:00;UTC;0.702
02.01.2025;03:00;UTC;04:00;UTC;1.275
02.01.2025;04:00;UTC;05:00;UTC;3.007
02.01.2025;05:00;UTC;06:00;UTC;6.713
02.01.2025;06:00;UTC;07:00;UTC;9.883
02.01.2025;07:00;UTC;08:00;UTC;12.153
02.01.2025;08:00;UTC;09:00;UTC;12.723
02.01.2025;09:00;UTC;10:00;UTC;12.635
02.01.2025;10:00;UTC;11:00;UTC;11.997
02.01.2025;11:00;UTC;12:00;UTC;11.595
02.01.2025;12:00;UTC;13:00;UTC;11.39
02.01.2025;13:00;UTC;14:00;UTC;12.221
02.01.2025;14:00;UTC;15:00;UTC;13.011
02.01.2025;15:00;UTC;16:00;UTC;13.859
02.01.2025;16:00;UTC;17:00;UTC;15.287
02.01.2025;17:00;UTC;18:00;UTC;15.294
02.01.2025;18:00;UTC;19:00;UTC;13.915
02.01.2025;19:00;UTC;20:00;UTC;13
02.01.2025;20:00;UTC;21:00;UTC;11.978
02.01.2025;21:00;UTC;22:00;UTC;11.342
02.01.2025;22:00;UTC;23:00;UTC;8.247
02.01.2025;23:00;UTC;00:00;UTC;9.956
