Start date;End date;Photovoltaics and wind [MWh];Wind offshore [MWh];Wind onshore [MWh];Photovoltaics [MWh]
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;38,360.75;2,829.25;35,531.50;0.00
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;39,486.50;3,390.50;36,096.00;0.00
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;39,565.50;2,726.25;36,839.25;0.00
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;38,191.50;2,206.25;35,985.25;0.00
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;37,982.75;1,709.25;36,273.50;0.00
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;38,278.75;1,657.75;36,621.00;0.00
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;38,817.75;1,529.75;37,288.00;0.00
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;39,619.25;1,562.50;38,056.75;0.00
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;41,338.00;1,699.75;38,852.00;786.25
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;45,930.00;1,720.00;39,417.75;4,792.25
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;51,464.00;1,806.50;40,250.00;9,407.50
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;55,750.25;1,925.00;41,050.50;12,774.75
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;57,624.75;1,943.50;41,977.75;13,703.50
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;57,276.00;2,349.00;43,069.00;11,858.00
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;54,470.00;3,223.00;44,023.00;7,224.00
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;51,622.25;3,781.25;44,850.75;2,990.25
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;49,395.00;3,832.50;45,341.50;221.00
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;49,995.00;4,312.75;45,682.25;0.00
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;50,281.25;4,316.75;45,964.50;0.00
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;50,139.25;4,280.00;45,859.25;0.00
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;49,647.25;4,262.50;45,384.75;0.00
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;48,859.25;4,495.75;44,363.50;0.00
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;46,997.00;4,791.50;42,205.50;0.00
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;45,449.00;4,944.75;40,504.25;0.00
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;43,145.00;4,376.00;38,769.00;0.00
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;40,900.50;4,302.00;36,598.50;0.00
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;39,980.50;4,813.25;35,167.25;0.00
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;38,545.50;5,262.75;33,282.75;0.00
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;37,010.50;5,418.00;31,592.50;0.00
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;34,109.75;5,036.75;29,073.00;0.00
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;32,116.75;4,958.50;27,158.25;0.00
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;29,105.00;5,122.25;23,982.75;0.00
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;26,278.25;4,853.00;21,189.00;236.25
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;24,692.50;4,808.00;17,934.25;1,950.25
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;24,656.50;4,770.25;15,348.50;4,537.75
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;24,692.00;4,727.25;13,663.25;6,301.50
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;24,316.25;4,725.75;12,940.25;6,650.25
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;23,326.25;4,753.50;12,709.25;5,863.50
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;21,469.25;5,125.25;12,656.25;3,687.75
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;18,652.00;5,082.50;12,288.50;1,281.00
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;18,006.75;5,075.25;12,853.75;77.75
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;19,261.00;5,185.25;14,075.75;0.00
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;20,516.50;5,337.25;15,179.25;0.00
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;21,812.75;5,457.00;16,355.75;0.00
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;23,074.50;5,586.25;17,488.25;0.00
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;23,753.50;5,650.25;18,103.25;0.00
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;23,944.50;5,606.75;18,337.75;0.00
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;24,143.00;5,673.75;18,469.25;0.00
