NUM_VARS, GUROBI, MOSEK, IPOPT, SPOCK
6897, 1.226643881, 4.843247109, 2.249432846, 26.264510698, 8.92419
14469, 11.866064642, 11.663436341, 21.640643761, 71.970635907, 246.155
32184, 3.660188744, 7.039081728, 12.602401812, 0.0, 0
64068, 43.141978932, 0.0, 110.940704281, 0.0, 0
99138, 62.499977443, 0.0, 230.708249844, 0.0, 0
70200, 15.215425852, 23.311051354, 63.614175893, 0.0, 0
33024, 9.935560962, 12.032117777, 24.14210163, 167.777703357, 0
2907, 0.878859549, 3.910011455, 0.758658915, 21.539033619, 5.82603
4698, 0.963538122, 4.426632583, 1.369506645, 22.562035777, 4.3456
18012, 11.906673303, 11.780037563, 21.22149051, 122.585532802, 144.459
117642, 13.977566423, 16.516423487, 51.274296099, 0.0, 43.5587
143259, 41.768147633, 44.633251736, 194.248925105, 0.0, 0
154473, 15.832566277, 0.0, 70.630954231, 0.0, 0
125451, 48.056162423, 0.0, 165.386797319, 0.0, 0
144612, 39.476897983, 28.70776652, 132.716260234, 0.0, 0
199008, 216.987627182, 0.0, 0.0, 0.0, 171.965
165312, 170.510006854, 0.0, 0.0, 0.0, 211.05
165840, 0.0, 0.0, 0.0, 0.0, 187.494
